id_mentah,username,comment,Label
1152,iwit.akbar_,aku anak indomie hadir,netral
2485,yaayaoke,Galau ? Jogjain ajaa,negatif
97,adellyaputriii,Rumah pocong jogja 👻,negatif
252,annissaptri_,"Ini tempat yg pernah didatengin DMS itu, kan?",positif
2032,rosiyaninandam,Mirip kak😭😍,positif
1481,miraasant,Adem banget muka cwonya kyk ubin mesjid😍,positif
612,devimar_24,😍,netral
1792,pengenmcflurryoreo,PENGENN,positif
965,hannahpriscaa,woi pgn😭,positif
2011,rismaljuliyandi,Angel😍,positif
1756,onashabrina,@agathatian_ @melpusa @jovitaagusti,positif
434,billaayv,ini rumah yang pernah dipake dms ga si,netral
1056,iema_sf113,Hampir mirip sm rumahku kak,positif
932,goodnaaik,@jeremy.roberts.549436 my fav one 😍😍,positif
1107,iniiieko,"haga itu perorang atau permobil, kak?",netral
2421,viviseliyan,Kaget banget harganya semurah itu😂,positif
1296,lalarahmansah,Kesini apa ?@estilarasati,positif
2185,sjnndi,Ini mah Lana Del Rey😭😍,netral
481,celinee_yin,@veliaandrestia_ gas rono,positif
2035,rreckha.hong,@ver_gud wani tak jak rene ra gud ?,positif
451,briantikatyas,Emanggg nikmaadddd betulll💕,positif
1568,nadialutsiyana,Sate kambing mbak bella juga mantep bgt!😭❤️,positif
1503,monafadillahenjeliska,first🙌,positif
444,bodyideal.ofc,Pelangsing 1Day 1Kg😍,netral
773,ericatirssa_,nunggu satenya brp jam kak🤣👎🏻,negatif
31,_kansaregar69,cantik kali awkarin🔥 @awkarin,positif
1400,manikdwi,Rumah pocong sih ini ....,negatif
846,fikafitrianesia,Sukak bgt😭,positif
2424,vvfiaaa.ssl,Rumah poci bukan si?,positif
1284,kulitkacangg_,Wkwkwk angkringan lainnya cmn 2rb an:),positif
904,geryylnrdy,JADI PENGEN :(,positif
2427,w00dygurlzzz,@tim_jurnalrisa kunjungin donggg plsss🥺🙏🏻,positif
462,ca.rizka,sukaa captionnyaaa,positif
1815,prashiliawulandari,Rumah pocong mbh sumi,negatif
737,ekaftrhamalia,Jadi mau ke jogya kann,positif
1666,njol.z_05,Rumahnya bagus klasik 😍,positif
510,cindhy_mega,Ibu sudah bangun,netral
2191,slsabilee,Liatnya aj udh serem tolong 😭😭,negatif
238,anitaawl,Mirip yaallah wkwk,positif
110,adindayyy_,@aghazaki,positif
1719,nurulafyhh,deh sukaku ini berdua😭,positif
1513,mooncendric,Ini rumahnya siapa,netral
421,bellaeufrasias,Enak bgt emg,positif
2515,ys.mayla,MAMPIR NING KOST KU KA😚,positif
253,annizxa,kangen jogja😭,positif
1806,piyanudin,KAK KAPAN SIH INI KE JOGJANYA KOK AKU GATAU,positif
1227,katakecil__,❤️❤️❤️,positif
2517,yuddamr,💓💓💓💓💓💓💓💓💓💓,netral
1962,riasuntyaningrum,Langsung enek 😥,negatif
650,dianaalbadhawi,Wow,positif
2519,yuli_fitmah,Kita pernah kesini kan @rumiyatunpujilestari,positif
394,babymillo__,Cuma anak rumahan😞,netral
2329,titaniajulinar,Mirippp gilaaa,positif
2504,yolaainunsilvana,Ganteng betul mas abi ❤️,positif
529,colorflips,❤️,positif
1388,maisrhazm__,inii udh pernah tayang di dms,positif
2033,rostikapebri,sate yang bikin ngangenin 🤤,positif
1548,na.iniii,pgn lg ih😭,positif
2041,runnieruns95,Serem bgt lo rin,negatif
319,atina_ribeel_balweel,liatnya jadi pusinh,negatif
648,dian.eksr,Slide terakhir pengen nangis😢,negatif
2292,tataistaaa,Slide 3 dan 8 merinding,negatif
388,azura.msi,@ade_melugi @inabundaaisya  berani?,positif
1200,justmyselfone,😍,positif
927,glarss_,😍😍😍😍😍,netral
1395,malikmlkii,Tmpt maen uno sampe subuh :(,positif
1260,kikyrdo_,💖tapjiwa,positif
2177,sita_byan,DMS dah pernah kesini🔥,positif
1305,larasclrrssssa31,Jdi inget trauma 27mei2006 merapi,negatif
1862,putryzz96,Serem kk 😢,negatif
101,adheliaayp,Slide ketiga dst merinding 😢,negatif
411,beehoneyyyyyy,sate klathak itu daging apa ya? serius nanya,netral
1069,ikaprasetyadj,Aku yg asli Kotagede kagak berani kesono,negatif
262,any_khumairah90,No,negatif
2527,yunimaulidaaa,Apalaah daya aku yng cuma anak indihome😭😭😭,positif
1180,jessie.kitchen99,Aku jogja bantul pula tapi ga berani kesana😂,negatif
1784,peacemindsoldier,Slide 1 ada yg lagi duduk😂,netral
