,comment,Label
1501,Pusing liatnya,negatif
478,@astrit_rabeca nanti kasi tau aku di skul,netral
452,Awas jatoh mba,negatif
1907,Mas abi gantenggg🥺😍,positif
2213,Caption : Awkarin bobo di awan,netral
459,@lestariagustin4 mba lu kangen makan ini ga,positif
602,aku anak indomie kakak .. gak ngerti jadinya,netral
1097,Nanti kita otw ya @b.mustika06,positif
723,@riadwisas hayu ke Jogja lagi,positif
1976,Bidadariku❤️,positif
1879,🙌🙌🙌,positif
1784,destinasi selanjutnya ke Semarang kak,positif
1027,Haykak'kamiMenjual{followerscek✅👈,netral
557,Karin del rey?!,netral
899,deket rumah😄 pesen dulu tinggal pulang hehehe,positif
532,Next destinasi jun @nanajuniati,positif
191,Merapi tak pernah ingkar janji 👏,positif
289,@tim_jurnalrisa 🔥,netral
1063,Dih ketemu ginian malem²😢,negatif
2219,"Your taste of MAN this time, didn’t fails us😭",netral
1106,Recommended banget tu kaa,positif
1665,sedep bgt sih mas abi,netral
722,"pusing bgt ngeliatnya, gatau kenapa🥲",negatif
1161,@haradalah Akg skuy?,positif
1754,Takut,negatif
1882,Ank indihom silahkan,positif
1422,Jadi kangen makan di angkringan 🤤,positif
582,@indrinoviyyy,positif
1426,😪💓,netral
978,🔥🔥🔥,positif
2180,Yu mas abi yu mulai chubby yu😂😍,netral
1454,@tim_jurnalrisa @sarawijayanto,positif
1902,❤️,positif
991,Anak Indihome pasti liat sesuatu yg janggal,negatif
206,Oh noooo pengeeeen,positif
1894,Auto ngibritt🚴‍♀️🚴‍♀️,negatif
1628,MIRIPP,positif
579,@miisdaa @umm_rafaaa @nisa_wa9,positif
728,Duyung putrii💛💛💛,positif
2143,nunggunya 2jam🙃👋🏻 byee,negatif
757,Wirausaha be like : tempat yang strategis😏,positif
1986,💛,netral
1676,cocokkkkkkkkkkkkkkk sekali:(,positif
2194,@natasya_fadia10,positif
1788,Keren bgtt😭😭😍,positif
1140,😍😍😍😍,netral
1180,kak @awkarin  ke Gorontalo dong😭😭,positif
422,Bidadari bukan nih❤️,positif
1073,Kuy @rayinugraha,positif
133,Udah lah cocok😬,positif
1741,kenter >> klenter,netral
893,@sarawijayanto @diarymisterisara,positif
2259,Cuma kamu yg ingkar janji!,negatif
1453,Mantul ka kari 😍❤️❤️❤️,positif
2170,Mas abi uuuuuu 💕😂,positif
581,Gus @reyaz_mubarak mantabbb😜😜,positif
930,Enak......😋😋,positif
453,Pulang dari sini kujamin diriku lngsung demam,negatif
806,@diarycewekindigo,positif
687,Kayak pernah d pkk syuting dms,positif
575,Demi apapun serem bgt,negatif
11,ini rumah yang pernah dipake dms ga si,netral
1192,Ini asli bikin pusing,negatif
1301,Slide terakhir paling bikin merinding sih😮,negatif
322,@tim_jurnalrisa,positif
529,❤️❤️❤️,positif
157,Kicik itu apa sih ?,netral
2296,❤️❤️❤️ cocok bngttttt,positif
986,degdegan nge swipe nya tp penasaran HAHAHHA,negatif
1827,Cantik mulu rin😢,positif
2088,Slide ke 4 gak tau knpa pusing liat nya 🥴,negatif
880,Jastippnyaaa jastipnyaaa,netral
18,@veliaandrestia_ gas rono,positif
229,Kasian yg diatas dipan😢,netral
200,Dih jadi rindu 😭 @claraarum93,positif
1577,@hendra_adhi_p jeepmu duk iki😂,positif
965,Hwaaa merapiiiii😭 rinduuuu,positif
1659,@novnovira,positif
47,💓💓💓💓💓💓💓💓💓💓,netral
296,Slide terakhir 🔥,positif
446,@_ungeeeee_,netral
194,😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍,netral
175,gmn anak indihome @baby.syak.official,positif
1119,"SOFTWARE INSTAGRAMNYA KAK, CEK @bezcorp",netral
1025,Enak banget pasti🤤,positif
17,Ini mah Lana Del Rey😭😍,netral
465,Mirip banget mukanya,positif
762,😍😍,positif
1782,hai,positif
2157,@diarycewekindigo yuk kak lihatinn,positif
1704,😍😍😍😍😍😍😍,netral
145,slide ke 7 bikin merinding .,negatif
1366,Gemesss kleann,positif
1652,Ku kira tempat suntingnya lampor,positif
838,Hadiiirrrrrr 🙌,positif
2051,Menarikkk!!,positif
1997,Mirip rin semoga jodoh yaa hehe amiiiin 😊,positif
1820,😍😍😍😍,positif
1607,Angkat tangan mu @keanuagl,netral
748,Gk sekalian keSolo kak??,positif
1334,@yukamerr ntr kesinii yukkk,positif
457,g lama blokiran lagi hmm,negatif
987,😍,positif
2067,💛✨,netral
758,@icchawww_,netral
300,❤️❤️,netral
1557,🔥🔥🔥,positif
259,❤️❤️❤️,netral
30,JADI PENGEN :(,positif
708,kgn mau !!😭🥺,positif
2186,"cieelah,",netral
1199,@citrarimaldaa,positif
951,@diarycewekindigo,positif
1785,mba sumi @rhe_vanqman,netral
1235,HUAAA PEN KETEMU KAK KARINNN😭😭 AYOO KETEMUU😭,positif
1485,Gambar ke 3 ?😮,netral
418,"Rumah pocong sumi ya kak,",negatif
670,@myhilmah yo kesini lg,positif
1747,🖤,positif
1599,Aku melihat dompetku terisi nya masih lama😢,negatif
1032,Nama aku terpanggil rin,positif
1069,❤️,positif
655,Kaya malaikat,positif
2017,Pengen plg ke jogja😭,positif
283,@radenmas_ulung coba kesini mas explore,positif
1284,Macam duyong rin. Keren ehhhh🍻,positif
2292,Cocok bgtt🔥,positif
385,Slide terakhir aku merinding :'),negatif
2001,luvv bangett ama kaliaaan,positif
149,Serem tapi keren❤️,positif
1539,Kamerany edann keun,positif
501,😭😭😍,negatif
2247,@dinatamboel,netral
1312,Mirip😍,positif
1630,Di fto ke 2 kek nya prempuan yah baju putih,negatif
570,Kurasa kutlah jatuh cinta😂,positif
1734,Kenapa pengen bet berkunjung ke situ sih kak😮,positif
1625,Aku 161 termasuk tinggi gak kak 😢😢,positif
1068,@araasmr_ :(((,negatif
682,Kerennn🔥❤️,positif
1005,Knp dah mas abi ngangkatnya garpu 😂,netral
379,❤️❤️,netral
6,😍,netral
791,Bahagia terus kak 💛💛,positif
535,Galfok sama cewe yang dibelakang😂 @awkarin,positif
971,Padahal cuma foto tp langsung merinding,negatif
2043,Slide terakhir subur😁,positif
425,"Kotagede , 🔥",positif
353,Ke kopi @menoewakopi.jogja say 😍,positif
33,Rumah pocong mbh sumi,negatif
2251,Dapet gopay gua mau 😂,positif
1598,Gw anak indomie.. Selerakuuuuu🤭🤭,positif
1036,@diarycewekindigo,positif
1897,Cocok ih wkwkwk,positif
