"id_mentah","username","comment","Label"
1,"____cacaaaa","Asique @ossilujunai ","positif"
2,"____n.rl2","Tolooong collab sama @awkarin","positif"
3,"___nissinwafer","Aku aja yang daerah jogja gaperna kesitu :v","negatif"
4,"___slviyani","@rimarimput tuh ayo","positif"
5,"__creqmpuff___","Aaaa cantik sekali😍","positif"
6,"__lynnshi","Ada yang duduk di slide 1","netral"
7,"__manurung12","Ada yg ngintip","negatif"
8,"__nurulazizah","@nazmipahlevi_ @nrslmaa_er","netral"
9,"_aafidahtan","mirip astaga🔥","positif"
10,"_agneskantue","bgni @itafazria ?🤣🔥","netral"
11,"_akuami_","@cafe.latteh apakah adaa? Wkwk","netral"
12,"_anjarii.iiii","@mhmd_fajarabdn","netral"
13,"_apdaaa","rinn cowo lo manis bangett","positif"
14,"_aqira05","Galfok sama cewe yang dibelakang😂 @awkarin","positif"
15,"_aradoang","the last pict bikin kaget wkwkwk","negatif"
16,"_azamada","sumpah yg kamar kiri ituu ngerii😮","negatif"
17,"_bradthms","co.choc🙌😂😍","netral"
18,"_daraand","Cocok kk 😍","positif"
19,"_dayuuuuuuuuuu","Hai anak jogja @windyanggun @sri_rejeki0300","positif"
20,"_denizio_","Dinginn rinn dinginn @awkarin","netral"
21,"_diaaahs","ga beraniliatstorylu rin","negatif"
22,"_dndaaml","❤️😚","netral"
23,"_doll_l","Slide akhir sereeemmmm","negatif"
24,"_ekarahmaa","🖤🖤🖤","positif"
25,"_fazzahra","io","netral"
26,"_fridays97","Ini yg ada di yt nyai sarah wijayanto ga sih?","netral"
27,"_hallo.ree_","Aku kangen jogjaaaaa😭😭","positif"
28,"_idhkk","Kak pengen ktmuu yuuu","positif"
29,"_itssumyzulla","Nama aku terpanggil rin","positif"
30,"_kajulia","deket rumahhh😭❤️","netral"
31,"_kansaregar69","cantik kali awkarin🔥 @awkarin","positif"
32,"_kintanaaa","😍😍😍😍","netral"
33,"_luthfiaa07","Knp ini manis bet yawlo :(","positif"
34,"_mhd_afn","@angkringancakjess 🔜","positif"
35,"_nazila11","@nabila0921 @aql_bein0921 mben kudu mreneb😂","positif"
36,"_nvvtaaaa","wanita tanah jahanam ya ka","negatif"
37,"_puteriagus","Slide terakhir mantap","positif"
38,"_raskitapurba","Yang buat shooting diarymisterisara gak sih","positif"
39,"_rly15","Take me @massudar_26 yaa","positif"
40,"_ruangr","Mantul mbak❤️❤️❤️","positif"
41,"_rullsss","panutan sklo😘😘","positif"
42,"_sha.id","kyk yg dibuat syuting perempuan tanah jahanam","positif"
43,"_srdw","bikin gw deg degan ajaa","negatif"
44,"_srhlaa","Yang dibuat syuting sarah wijayanto dulu nii","netral"
45,"_srymaulanii","@yuliiaaa34","positif"
46,"_sshe.llaaaaa","Awww❤️","positif"
47,"_sungguh","Cantik kak","positif"
48,"_taniiaaa14","❤️🔥","positif"
49,"_vanuillacake","Liat fotonya ajaa merinding sihhh","negatif"
50,"_yk808","Kotagede 👏👏👏","positif"
51,"_yupeee","Sakjosee tnn sampean mbak😳😍💓","positif"
52,"_yustk","@bagas_kenyo","netral"
53,"_zoeystormi","@marviana_risty","positif"
54,"02_larass","Setiap ke jogja mau ksini gagal mulu kesel 😭","positif"
55,"10_richgirl","5 menit dari rumah ini","positif"
56,"1180130024_","NIH SATE KLATHAK @difhaelhaq","netral"
57,"15amirruhaj","Ada yg merhatiin di slide ke 3🙂","netral"
58,"16_._._09","Auranyaaaa 😑😑","netral"
59,"17.dri","Mampir ke solo ka 😅","positif"
60,"2nd_sy","❤️","netral"
61,"2nd.araaa_","@kayliazmi_ ceritain dong ada apaaa","netral"
62,"4.3t1k4.pr4s3ty4nd1","Hadiiirrrrrr 🙌","positif"
63,"54rda","cocokk😍","positif"
64,"778qhaga","❤️❤️❤️","netral"
65,"911.whatsuremergency","Your taste of MAN this time, didn’t fails us😭","netral"
66,"a.salbill","Slide ,3,4,7 langsung merinding😶","negatif"
67,"a1u6r0o6r0a1w","CANTIK BGT","positif"
68,"a9erlll","wkwk up deh 😂","negatif"
69,"aaanother.fi","@talitooongs ummm..","netral"
70,"aaapple_candy","Kicik itu apa sih ?","netral"
71,"aaiicaa00","2020 naik pelaminan😝","positif"
72,"aandi.as","Apa cuman gw liat penampakan yg di falfon😢😢","negatif"
73,"aas.suprihatini","Ko liat foto ya nyesek ya😢","negatif"
74,"abbey.abbelics","🕊🕊","netral"
75,"abbyhabibburohman","Pocong mba sumi,siapa nya pocong mumun ?","negatif"
76,"abcdvnaa","Sah","positif"
77,"abdurrahman.aflan","😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍","netral"
78,"abeera_kitchen","😍😍😍","positif"
79,"abel_gabriela","😭😭😭","negatif"
80,"abjazener","ini mah pas di foto setannya jadi estetik","negatif"
81,"abottleofsoyamilk","Mirip bgttt yaampunn","positif"
82,"abracharanza","@billskyyy_ pliss","positif"
83,"acahyani.14","😐😐😐","negatif"
84,"achahafsahh","Baru aja balik, wishlist kalo kesana lagi!","positif"
85,"achipi_","kok aku merinding ya liatnya😰","negatif"
86,"adadindaaa","Apapun yang di foto @awkarin buat ngiler😢","positif"
87,"addamuhamad","😭😭","negatif"
88,"addeelle_","Gw kesini sekitar 2 tahun yang lalu 😌","positif"
89,"addictfossil","Kayak tmpt syutingnya sara wijayanto thn lalu","positif"
90,"addictive.taste","emang saya jualan apa si?","netral"
91,"adeeolaaa","🔥","netral"
92,"adeeskrtn","U guys are so cute❤","positif"
93,"adefl_","beuh❤","negatif"
94,"adelinaptriy","❤️❤️❤️❤️","netral"
95,"adellaaeiseyll_","🔥🔥","positif"
96,"adellianadine_","Maem @awkarin","netral"
97,"adellyaputriii","Rumah pocong jogja 👻","negatif"
98,"adepertiwi8484","Pernah didatengin Ama dms kayanya ya...","positif"
99,"adhaninurul","Itu kpn kak??","netral"
100,"adheliaanandau","💗","netral"
101,"adheliaayp","Slide ketiga dst merinding 😢","negatif"
102,"adheparamithaa","muka jodohh kak😍😍😍😍","positif"
103,"adhepuzpitha","Mrinding asli 😭😭","negatif"
104,"adibiebermks","ada hantu penari dan siluman ular","negatif"
105,"adicandra.ac","Di jadiin cafe😂😂","positif"
106,"adielanugrah","takut ga berani geser😰","negatif"
107,"adiii_saputro","I do not see it 😶","negatif"
108,"adilladeel","Hwaaa merapiiiii😭 rinduuuu","positif"
109,"adindaapriliia","tbl 😳","positif"
110,"adindayyy_","@aghazaki","positif"
111,"adiprasetyo6661","🔥🔥🔥","positif"
112,"adisssul","@ri_ipal coba yuks","positif"
113,"aditajulianita.k","Pas ngeliat langsung pusing","negatif"
114,"adithurcahyo","@_bimaadwi owner","positif"
115,"aditpurnama10","Demi apa murah2 bngt","positif"
116,"adityafaris96","Karin❤️❤️❤️","netral"
117,"adiyot_","Peninggi ginjalnya kak","positif"
118,"adrizqprt","@wismarushan gas gaa?","positif"
119,"adyana122","yg terakhir auranya merinding bgt pls😭😭","negatif"
120,"aeroxspace_","Anjaii @diippeee","negatif"
121,"af2602_","🔥🔥🔥","positif"
122,"afffanzz","Kurasa kutlah jatuh cinta😂","positif"
123,"afitanurfina_","😍😍😍😍","netral"
124,"agenghasary__","Iyah pernah ditayangin di @diarymisterisara","netral"
125,"agetthaaa","Merindinggggggg","negatif"
126,"agstnadwil","Bener karinn😭","positif"
127,"agunggumilar222","❤️❤️","positif"
128,"agunggwy","Lu cocok rin ama dia wkwk🔥🔥","positif"
129,"ahcsanah_16","Cocok😀♥️👍","positif"
130,"aigaa.n","Kayanya nnti cowo ak gt deh","netral"
131,"aindlicious","SERASI!","positif"
132,"ainiefaa_","Yang di diary misteri sara ya","positif"
