name;comment;Label
awkarin;Sejatinya, semua yang tinggipun (manusia) berasal dari bawah (tanah) juga.;netral
karinadznvty;Keren bgtt😭😭😍;positif
ikaymilasr;@andikaapriantop;netral
hafif_marpaung;keren...di mana nih?;positif
van.vaza;Karin del rey?!;netral
oneshaa_;ini pas ama @eri.carl gak sik yang pagi pagi buta dah bangun itu ☺️;netral
domidave_bong;💙💙💙💙💙;netral
yukladibeli;Yuk yang lagi nyari barang apa aja bisa cek ig kita di @yukladibeli jual case, dompet pria wanita, baju, kaos tumblr, dllAtau langsung wa 089699960634;netral
ps.fashionsolo;Cek ig kita yaa;netral
devinachristbel18;Yang dari tanah akan kembali ke tanah ❤️❤️❤️;netral
dayatfr05;Luar biasa sekali ciptaanmu ya allah❤️;positif
skrrraah;Kak di manado ya?? Mau titip pisang ambon;netral
littlediana01;Hai ka, kalo lagi cari penginapan dijogja yg bisa muat sampe 12 org boleh cek ig kami yah😊 @guesthouse_yk 650k/ Malam. Full interior;positif
azkaananya;❤️;netral
rizafxx;Aw;netral
zuzuaulia;Cuma karin yang bisa bikin spot yang keliatan 'biasa' ketika dipake orang lain jd keliatan 'luar biasa';positif
santipalebbangi;💚;netral
bebylash_beauty;Panutanquuuue🔥🔥🔥;positif
_ruangr;Mantul mbak❤️❤️❤️;positif
petang_h;Padahal mah ni foto pas lg bete abis dibangunin mbakerr;negatif
lelelend_;Benda yg ada di dekat kakinya Kak Karin itu apa ya?;netral
iismailsaid.2;Baru sekarang di upload;netral
fitri.nuraini23;Kapan karin ke jogja 😭😭 @awkarin;positif
feliaanisa;asiyaap;netral
este.manis;@anaahiar @baihakihmn ntar fotoin gua kaya gini ya;positif
cacabocul_;Beb nanti lo di jogja foto begini ya @lidyanuraini;positif
sjnndi;Ini mah Lana Del Rey😭😍;netral
hhhcndsyg;🔥🔥🔥🔥👏👏👏👏;netral
kartikacndraaa;😍🔥🔥;netral
noviaartn_;Pass💙;positif
jessicael__;im dyinggg😍;positif
minymore.id;👈👈Sepatunya kaka🔥🔥;netral
vioniretno24;Totalitas @ummikhasyati_ @whutymeidilla;positif
piyanudin;KAK KAPAN SIH INI KE JOGJANYA KOK AKU GATAU;positif
rdnx205;Dingin ya rin🤣;netral
zhrara26;@bellabe_19;netral
nabilaauliazh_;💖💖💖💖;netral
indriiandika;Itu ga masuk angin apa ka?;negatif
safnamelani;Njirr kirain bidadari kayangan 😐;positif
secndaccsapir;😘m;netral
hildaaa1211;Syantek kuy😍;positif
