name,comment,image
awkarin,"Sejatinya, semua yang tinggipun (manusia) berasal dari bawah (tanah) juga.",https://instagram.fsrg4-1.fna.fbcdn.net/v/t51.2885-19/275999037_681521409554190_7635459765193943707_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsrg4-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=tvt_iMAdqrwAX_N_TKC&tn=Rkw20jy6S7RjaG9b&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT8dcVUmb-FQ0HassgItLO_zuz17sLkRGekRa6d2UBHRwg&oe=6247AF3F&_nc_sid=83d603
karinadznvty,Keren bgtt😭😭😍,https://instagram.fsrg4-1.fna.fbcdn.net/v/t51.2885-19/258308958_221117570099643_2143015685252759506_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsrg4-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=k6VtvZ432oUAX8SQLzY&edm=AId3EpQBAAAA&ccb=7-4&oh=00_AT8StsIojyYVH-q-wXwNOEn3bE3l_BTnImahSq96Tcu-XQ&oe=62488B78&_nc_sid=705020
ikaymilasr,@andikaapriantop,https://instagram.fsrg4-1.fna.fbcdn.net/v/t51.2885-19/69476085_968838633453155_6605370525394927616_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsrg4-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=mwFsKoFSjKMAX_InYb7&tn=Rkw20jy6S7RjaG9b&edm=AId3EpQBAAAA&ccb=7-4&oh=00_AT9xigtCumffPrzg14dFZqBbndYcQ85QAnyR7Q0_AUBYAg&oe=62472E58&_nc_sid=705020
hafif_marpaung,keren...di mana nih?,https://instagram.fsrg4-1.fna.fbcdn.net/v/t51.2885-19/87344709_776008512890831_8810535670079553536_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsrg4-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=duU-XOMk0VcAX8rGU3y&tn=Rkw20jy6S7RjaG9b&edm=AId3EpQBAAAA&ccb=7-4&oh=00_AT-hCiMAz8v1X1ISr9f6KVrhqRqg7MZaRaAdmvhXmn5jrQ&oe=62474FC4&_nc_sid=705020
van.vaza,Karin del rey?!,https://instagram.fsrg4-1.fna.fbcdn.net/v/t51.2885-19/121481831_1282237638803541_818381458890252849_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsrg4-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=KOZzjl71EPUAX9P3_s7&edm=AId3EpQBAAAA&ccb=7-4&oh=00_AT-LGBS7OEE5BHO2OisQrotibPEI_R7RPDM4tz1XGwQjBQ&oe=624778C5&_nc_sid=705020
oneshaa_,ini pas ama @eri.carl gak sik yang pagi pagi buta dah bangun itu ☺️,https://instagram.fsrg4-1.fna.fbcdn.net/v/t51.2885-19/273497910_624892652069374_5620343540405621936_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsrg4-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=3Iwiu7bJKmYAX_Wr3pg&edm=AId3EpQBAAAA&ccb=7-4&oh=00_AT_e7IOQ3PY9pjjGxBe-EuTsoycg63Sw4MY5_qklEqbK8w&oe=62481EEA&_nc_sid=705020
domidave_bong,💙💙💙💙💙,https://instagram.fsrg4-1.fna.fbcdn.net/v/t51.2885-19/243960003_251442980102828_2114012739570036719_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsrg4-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=s0N5gnEwfwcAX-qmpXk&edm=AId3EpQBAAAA&ccb=7-4&oh=00_AT-O2HY8ZZsDc-P8A5mpOcFBqqyBHCScyd54xPOXRcu1fw&oe=6248E08B&_nc_sid=705020
yukladibeli,"Yuk yang lagi nyari barang apa aja bisa cek ig kita di @yukladibeli jual case, dompet pria wanita, baju, kaos tumblr, dllAtau langsung wa 089699960634",https://instagram.fsrg4-1.fna.fbcdn.net/v/t51.2885-19/69803024_395973071347718_8111921237514518528_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsrg4-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=aOgUY_ROS5cAX_3tHOm&tn=Rkw20jy6S7RjaG9b&edm=AId3EpQBAAAA&ccb=7-4&oh=00_AT8aYYGyw21pLUdPqhx34xP_h_5TOerGsRmikulFHzlavQ&oe=62485324&_nc_sid=705020
ps.fashionsolo,Cek ig kita yaa,https://instagram.fsrg4-1.fna.fbcdn.net/v/t51.2885-19/67703771_1320265861481016_8339891568940941312_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsrg4-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=ZSWTq5zKrXQAX_V88Gp&edm=AId3EpQBAAAA&ccb=7-4&oh=00_AT_NxvMgcuF1ib8FZSV9QGrdS3xWaIOcsJodt2MHdoR70g&oe=62471FE2&_nc_sid=705020
devinachristbel18,Yang dari tanah akan kembali ke tanah ❤️❤️❤️,https://instagram.fsrg4-1.fna.fbcdn.net/v/t51.2885-19/272703452_1314977042263619_589099001606714179_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsrg4-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=wLufvGLjJlYAX8oYp59&edm=AId3EpQBAAAA&ccb=7-4&oh=00_AT-2kWSIT_a_escT3ZvyU_pBXPCwOrHyi5GQwizipKswow&oe=62488842&_nc_sid=705020
